date,value
2021-04-01,98.19588
2021-05-01,96.64948
2021-06-01,95.1031
2021-07-01,96.64948
2021-08-01,91.81701
2021-09-01,92.10696
2021-10-01,95.58634
2021-11-01,96.16624
2021-12-01,97.22938
2022-01-01,97.03608
2022-02-01,97.61598
2022-03-01,92.68686
2022-04-01,94.42654
2022-05-01,94.81314
2022-06-01,95.68299
2022-07-01,95.58634
2022-08-01,94.52319
2022-09-01,96.45618
2022-10-01,95.39304
2022-11-01,96.35954
2022-12-01,94.23325
2023-01-01,96.06959
2023-02-01,97.90593
2023-03-01,95.68299
2023-04-01,95.39304
2023-05-01,95.29639
2023-06-01,93.9433
2023-07-01,92.88016
2023-08-01,92.78351
2023-09-01,91.72036
2023-10-01,91.72036
2023-11-01,91.81701
2023-12-01,90.17397
2024-01-01,91.04382
2024-02-01,92.10696
2024-03-01,91.43041
