horizon_months,us_ip,us_cpi,fed_funds,fed_bs,vix,us_10y,de_ip,de_cpi,ecb_rate,ecb_bs,de_10y
0,0.0050835032989829075,0.07442531384273023,0.0002370743681184423,3.3214067317594076e-05,0.024773424823301506,0.5763294150411439,0.0003362077508459724,0.0006568116852119605,5.6219083792001005e-05,0.0013562880331748235,0.31671252800538063
1,0.010934407171210487,0.10899185304318992,0.003338543040395536,0.001079370595698066,0.02182231561133086,0.5215953947999051,0.010315878626926827,0.026327433928528023,0.00029965795862854167,0.00116652641956433,0.2941286188046222
2,0.01043310009686993,0.10517457014188103,0.0048512267085907505,0.019159447262973004,0.025520279487272216,0.5021405688769244,0.01186070555167732,0.03516853010488231,0.0004348361944582269,0.004220428597830537,0.28103630697664017
3,0.013346135764200738,0.10391158854088431,0.005454954041817645,0.02001012182866605,0.025190638014916344,0.4970687042032144,0.015271349230785715,0.03775015809189036,0.00044545750023920175,0.004230264873143853,0.2773206279102412
4,0.013592762511768093,0.10347934004279778,0.005434299877766802,0.02018748583286753,0.02627697599018517,0.4950232035004329,0.015687100142011006,0.038068269786462015,0.0005383481222872919,0.004211784391365791,0.27750042980205547
5,0.013732834916480766,0.10335071895388447,0.005631156740112555,0.02084958467493312,0.026312600739223823,0.4943905931240024,0.015678417045688533,0.03831880213130558,0.0005481508312146133,0.004205376475299056,0.2769817643678549
6,0.01401479378303345,0.10332456113464926,0.005834535311307311,0.020989079683744794,0.02630397257198059,0.49398995536732665,0.01567796434153162,0.038322981714908964,0.0005511784734737827,0.0042125970058952385,0.27677838061214816
7,0.014083169432946992,0.10330783423643414,0.005944871498359391,0.021006971232449854,0.02629978291666543,0.49378589121940064,0.01577353283921111,0.038319844208551605,0.0005644662237114184,0.004249648527379857,0.2766639876648894
8,0.014079861166214435,0.10330583248294456,0.006026452738884027,0.021001852791823084,0.02631624682708535,0.49366342417598263,0.015814963354181626,0.038329664175153356,0.0005867271146573335,0.004262089894650794,0.2766128852784227
9,0.014084141881566276,0.10331870533534064,0.006121851909037536,0.020997009149811546,0.02631113438763246,0.4935648235278447,0.015835641846314384,0.03834041254183857,0.0006026576870277262,0.004262904567553484,0.27656071716603253
10,0.014082494504981606,0.10332526508987926,0.006190754505827602,0.020994237883677883,0.026308376564100185,0.49349724111662024,0.01586065437257101,0.038344113807880525,0.0006143698286920593,0.004262729821198976,0.2765197625045705
11,0.014081791520495242,0.10332344187073772,0.006222131001623931,0.02099569490133209,0.02630598689343742,0.4934566490592662,0.015882283201440618,0.03834812954482674,0.000624784862051178,0.004263600257680373,0.2764955068871083
12,0.01408188239152483,0.1033202350313817,0.006237168442810798,0.020999247247686086,0.02630567816350735,0.4934315748037952,0.015893243328232432,0.03835136513210311,0.0006343428408165365,0.004264872974952035,0.2764803896431897
13,0.014082002211296034,0.10331826507171164,0.006247669763464954,0.021002401004140116,0.02630538537684205,0.49341513750337623,0.015898311217747506,0.038352691242002364,0.0006420113696247193,0.004265709748524039,0.2764704154912701
14,0.014082134194243725,0.10331696556966845,0.00625507000043959,0.021004536722121762,0.02630494142878318,0.49340397634546757,0.015901634619252356,0.038352770088036496,0.000647892274144404,0.004266168830326207,0.276463909927516
15,0.014082232222725926,0.10331592150768941,0.00625941023402661,0.02100617382282305,0.026304683248614145,0.4933964650620527,0.015904082387254364,0.03835256076743102,0.0006524002548811208,0.004266451710885153,0.27645961878161635
16,0.014082295990472908,0.10331513565495888,0.006261793373743079,0.021007521916570415,0.026304571102398634,0.4933915205759432,0.015905570574321126,0.03835235019960007,0.0006558207929445244,0.004266626356548164,0.2764567934624987
17,0.014082359249941721,0.10331458264728795,0.006263166854358959,0.02100857102979771,0.02630448178120528,0.4933882574301901,0.015906381972597437,0.03835216756061864,0.0006583281945098957,0.00426672927657091,0.27645497400292113
18,0.014082427014119221,0.10331418616146087,0.0062639371323459725,0.02100933827089627,0.026304406587981798,0.4933860821728606,0.015906853660369855,0.03835201679005094,0.000660129443052413,0.004266791054466185,0.2764538317123956
19,0.01408248496418652,0.10331390080633408,0.006264324252707024,0.021009899701511056,0.02630435993345207,0.49338463367982,0.015907132140398385,0.03835190590750521,0.0006614142155700366,0.004266829169476148,0.2764531152290393
20,0.014082527316191565,0.10331370294302751,0.006264502430323782,0.02101031204709908,0.026304333990515457,0.4933836739487036,0.015907278537831103,0.03835183133645341,0.0006623200851547091,0.004266851020430706,0.27645266634426896
21,0.014082558290709446,0.1033135695768234,0.006264579793464128,0.021010608504326362,0.02630431626545813,0.4933830367171147,0.015907346675742746,0.0383517851567788,0.0006629461662104919,0.004266862213354783,0.27645239064001687
22,0.014082581639923182,0.10331348101759374,0.006264608638559086,0.021010815604301847,0.026304302759754553,0.49338261121117377,0.01590737611161593,0.03835176000777137,0.0006633713018645159,0.004266867504742779,0.2764522242026991
23,0.014082598571292263,0.10331342346190563,0.006264615433254047,0.021010957719027654,0.02630429317178034,0.4933823260579923,0.015907386888480132,0.03835174908592265,0.0006636562662227541,0.004266869789647157,0.276452123554475
