,coint_vec_1
us_10y,0.001777970767703199
de_10y,-0.0025812222482666266
fed_funds,-0.0128233942907615
ecb_rate,-0.015215897331942646
fed_bs,0.007797449317606903
ecb_bs,0.004065013249369646
