,us_10y,de_10y,fed_funds,ecb_rate,vix
us_10y,,0.8929016141158647,0.006792714944492746,0.006359465853174128,0.21301978189363233
de_10y,0.1762118559875073,,0.0012806325348200442,1.2264156876892773e-05,0.5076987929349106
fed_funds,0.06098029572327205,0.11689515335590492,,1.5599624998796752e-06,0.6319796747888309
ecb_rate,0.6406961725024789,0.7975625847818234,0.9551677981097784,,0.0969369769166725
vix,0.0031261478436581448,0.05278263139079953,5.360885606245182e-05,0.0019385661834486448,
