horizon_months,us_ip,us_cpi,fed_funds,fed_bs,vix,us_10y,de_ip,de_cpi,ecb_rate,ecb_bs,de_10y
0,0.013800441092325356,0.04287373186359249,0.022816948968126475,-0.006103863517098215,-0.043099684969661003,0.18428645623064135,0.0,0.0,0.0,0.0,0.0
1,-0.020970010627562728,0.05453305377289382,0.012557892753077858,0.011427612046007134,-0.020593703038591513,0.039952471476432404,-0.02390503540986608,0.01338503584628622,-0.009127738232804687,-0.006161829774012345,0.010892704887683713
2,-0.006043571656669045,0.00565157444363951,0.018991368898154334,-0.03615965877529118,-0.01532770329391443,-0.021638129139847632,-0.014472796660781526,0.014253667059130769,-0.009669584513117701,-0.02016225192563186,0.00020277442649594484
3,0.020762833225969526,-0.008132094990154418,0.008070220466698103,-0.016301726278045322,0.002496891822779717,-0.012955066841891539,-0.016514608753309325,0.011662877640248964,-0.008149715821251064,0.0016357519885454716,0.0021053485246984877
4,0.008721279405108936,-0.0044512287048584205,0.000613495249934361,0.008097117406323922,0.009594160324581248,0.003238618578086129,-0.008491646595265311,0.003681552472339857,-0.00873411312720455,0.0006819737815627955,0.005962356362601718
5,-0.005314962019859404,-0.00014939234813343217,0.002828428370118646,0.011723342926277865,0.0010098132144524007,0.006053944461241308,0.0016671474158272245,0.0010427162979628945,-0.006080536568073031,0.0013558999813577275,-0.0016637526838299188
6,-0.007568341514760431,-0.000534476524886925,0.0015340359487664597,0.007932969077477705,-0.00025941034209304016,0.00014919795853523887,6.326294080004216e-05,-0.000576847900786262,-0.004520489807098257,-0.0012329950211111317,-0.005341275789019267
7,-0.004084996696200867,-0.0012570350747512335,0.00046623452695812383,0.004172389511923667,0.001577303254739998,-0.001880307116956901,-0.0019161381768494517,-0.0015235604013949028,-0.004259297756501852,-0.0020336119758631063,-0.00317756277219791
8,-0.0007104790540813224,-0.0004775730929696436,0.0005243207194085646,0.002188054382595329,0.0017771607737803073,-0.0010053965737385367,-0.0007929737535728028,-0.0010449532420927108,-0.003730407640807174,-0.0009904600845949748,-0.001245430907444034
9,0.00027464461933784896,0.00019389145132581504,0.0009740972658327862,0.0014065667034648052,0.0003406246985300441,-0.00015012049738310595,-0.0003174707619250314,-0.0007964849597353705,-0.0029404342472359054,-0.00017608685082141668,-0.0010467884199867467
