horizon_months,us_ip,us_cpi,fed_funds,fed_bs,vix,us_10y,de_ip,de_cpi,ecb_rate,ecb_bs,de_10y
0,0.0049589740010364414,0.047861738667985425,0.01355567157481216,0.0009700978107700085,0.04836754981851761,0.8842859681268784,0.0,0.0,0.0,0.0,0.0
1,0.013967583794542349,0.10665321437966943,0.01503412041927048,0.003720164495701411,0.050571140064879866,0.788099384596334,0.01266561069459992,0.00397087695110194,0.001846603718741707,0.0008415244622237579,0.0026297764229351113
2,0.013755054517314983,0.09993548106752091,0.021435302554573526,0.030438302487445997,0.051920388372211954,0.7432499224875139,0.016110995002082112,0.007887766124916614,0.0036478978629375805,0.009170153871105384,0.002448735652377047
3,0.02197594577469747,0.09828964193246649,0.02210207589288905,0.03485349815175235,0.05050234349689791,0.724523481121396,0.021091780999186446,0.010376268482659368,0.004869046074265569,0.008951218805232815,0.002464699268556487
4,0.0232830497550309,0.0977813461756774,0.021906872537641953,0.03583430999973482,0.05186496599530629,0.7180878821567345,0.022328594118151246,0.010549953198725995,0.0063374577728570625,0.00887836389336094,0.0031472043967788062
5,0.023722506143606926,0.09728621862733605,0.021953716667863638,0.03836485273220765,0.05162223097264725,0.7151717739613812,0.022270277893414545,0.010517940492651404,0.00703495660098693,0.008869647218395038,0.0031858786895091816
6,0.024767927806938737,0.09695938418067129,0.021924975366530097,0.03947139622803016,0.0514471477336988,0.7127282827362289,0.02219425323809634,0.010488542004539107,0.007412795940558141,0.008869235693328148,0.0037360590713801274
7,0.025056543344645927,0.09683756336805285,0.021894680922362204,0.039751002735145945,0.051414896731451526,0.71167415498673,0.022231359127697196,0.010517586206252724,0.007757328339801922,0.008936457906103689,0.003928426331755819
8,0.02505261565072503,0.09678857496098338,0.021887987837535143,0.03982301029523779,0.05144849068306788,0.7113010745635925,0.022231425199658067,0.010533208012009552,0.008026139760346251,0.008950775977416722,0.003956697059427566
9,0.02504736817562643,0.09676332199501778,0.02190072634992989,0.03985113206142307,0.051436951607501974,0.711110511797036,0.022227432802173583,0.010542825790931727,0.008193615931764653,0.008948980762366264,0.003977132726228517
10,0.02504325107733096,0.09674512065866714,0.021905474756881326,0.039875117853485444,0.051429362432090536,0.7109759524217748,0.02222986598418968,0.010553959212349792,0.00829222792296695,0.00894733788485335,0.004002329795409841
11,0.025045768325044414,0.0967335750878731,0.021902362476636652,0.03990460685918867,0.051422094699413966,0.7108757082074432,0.022231937044092424,0.010560083393686087,0.008356941023954066,0.008946212551601947,0.004020710331065356
12,0.025048767183740057,0.09672811374651286,0.021902166156511714,0.03992940673315644,0.051418284139246595,0.7107999441907904,0.022230043495202773,0.010563597446099762,0.008400194890695153,0.008945654995304338,0.004033827022739687
13,0.0250503343406495,0.09672477942207638,0.021902799627326386,0.03994486043393303,0.05141512055642891,0.7107476216731846,0.022228456651594924,0.010567734433119492,0.008427210307505442,0.008945129483258709,0.004045953070922382
14,0.02505109054420511,0.09672278027565781,0.021903771787134107,0.03995325621932042,0.05141250585084018,0.7107120717064103,0.02222753037243582,0.010572731899809968,0.008443497610496021,0.008944672836071081,0.004056090897618964
15,0.025051340555275286,0.0967219568257692,0.02190554936553521,0.03995810001023847,0.05141069914087735,0.7106876959860238,0.022226986212082463,0.010577200314360402,0.008453260222566573,0.00894434126951932,0.00406287009775169
16,0.025051347126420192,0.09672170868265487,0.02190779045287865,0.03996104599950772,0.05140948129763613,0.7106708378198947,0.022226857466122747,0.010580587310852561,0.008458994318128995,0.00894411964569234,0.004067229880210774
17,0.0250512956560658,0.09672164742141058,0.021909925033955974,0.0399626985683593,0.05140859744815534,0.710659153366708,0.02222704756934381,0.010583131567376025,0.008462207418234608,0.008943979384822337,0.0040703165655678825
18,0.02505123137976817,0.09672170756347084,0.021911824135366468,0.03996351740508339,0.05140795577869588,0.7106509950703537,0.022227341212454295,0.01058507232218087,0.008463929627624251,0.008943891913574292,0.00407253359142753
19,0.025051152842548444,0.09672185324210353,0.021913510191174754,0.03996388677549731,0.0514074978214018,0.7106452580556019,0.02222764885019543,0.010586513523308493,0.008464817314308424,0.008943838197063349,0.004074023186796424
20,0.02505107065777839,0.09672201173677511,0.021914940535135773,0.03996402943496612,0.05140717340605401,0.7106412120889068,0.022227964895617267,0.010587552145516505,0.008465246321873997,0.008943808501250603,0.0040749902761251944
21,0.02505099853245087,0.09672214084115693,0.02191608444502906,0.03996405638128801,0.05140694407887312,0.7106383621523331,0.02222826752242476,0.010588294802425832,0.008465430397204671,0.008943795199945028,0.004075625646868386
22,0.02505094060386497,0.096722238642393,0.021916972355059208,0.03996402920785091,0.0514067828244524,0.7106363579890885,0.022228528505227926,0.010588822664166964,0.0084654938691288,0.008943791205966393,0.004076042132800704
23,0.025050895407257332,0.09672231191263551,0.021917652831704014,0.0399639837865683,0.0514066699509349,0.7106349510742094,0.022228740699497963,0.010589190567391252,0.008465505232505407,0.00894379178559374,0.004076306751702002
