variable,adf_stat_level,adf_pval_level,kpss_stat_level,kpss_pval_level,adf_stat_diff,adf_pval_diff,kpss_stat_diff,kpss_pval_diff,likely_I1
us_ip,-2.4290776942895103,0.13369704668801613,0.7558296743884281,0.01,-12.183617534631228,1.334108594684612e-22,0.049821386490908504,0.1,True
us_cpi,2.091665131444006,0.9987808404163114,2.2463422269929394,0.01,-2.3254456180651646,0.1638925230743613,0.6432935898421707,0.01870058274162085,False
fed_funds,-2.464077168030053,0.12446113680136067,0.2972525819993731,0.1,-3.5248572890832666,0.007371189146567789,0.20671309396891493,0.1,True
fed_bs,-1.1589963571395971,0.690981209636405,2.241019136950814,0.01,-5.979607585872223,1.85197813647379e-07,0.1139496426311773,0.1,True
vix,-4.155616766006307,0.0007826363638373838,0.12690563279640257,0.1,-13.850783034743342,7.011559574569734e-26,0.03585932501219455,0.1,False
us_10y,-1.6253740908491168,0.4699130120206184,1.182581821683289,0.01,-11.227296564576966,1.9462363504111273e-20,0.18094741042157347,0.1,True
de_ip,-2.606555254476902,0.09164998432832122,0.8869987062340927,0.01,-13.41497720781351,4.299901870071134e-25,0.11422122073751817,0.1,True
de_cpi,0.8625867559960948,0.9925821237424429,2.1781333468892146,0.01,-2.566769551764052,0.10006164313497706,0.6793701593721609,0.015420894602530821,False
ecb_rate,-1.8807246784116065,0.3411824471357225,0.5808865391291298,0.024373950988260926,-4.421507428873902,0.0002718705389866365,0.3658249393492019,0.09188580200465435,True
ecb_bs,-1.2203943984645145,0.6647616081010197,2.2956347766236664,0.01,-3.9169066541733986,0.0019138871741791877,0.09660025125959272,0.1,True
de_10y,-1.5159381027978245,0.5256127716684654,1.8247838400456935,0.01,-7.764890004789015,9.244270282820528e-12,0.32441481477614403,0.1,True
